result,threads,worksize,repeat,time
10000.000000,1,1000000,4000,11320096
10000.000000,1,1000000,4000,11722657
10000.000000,1,1000000,4000,11206724
10000.000000,1,1000000,4000,11235996
10000.000000,1,1000000,4000,11530159
10000.000000,1,1000000,4000,10949405
10000.000000,1,1000000,4000,11220440
10000.000000,1,1000000,4000,11006677
10000.000000,1,1000000,4000,11316364
10000.000000,1,1000000,4000,10968414
10000.000000,2,500000,4000,5629003
10000.000000,2,500000,4000,5611422
10000.000000,2,500000,4000,5610824
10000.000000,2,500000,4000,5621270
10000.000000,2,500000,4000,5627703
10000.000000,2,500000,4000,5663015
10000.000000,2,500000,4000,5641306
10000.000000,2,500000,4000,5623954
10000.000000,2,500000,4000,5604947
10000.000000,2,500000,4000,5654623
10000.000000,4,250000,4000,3191037
10000.000000,4,250000,4000,3532799
10000.000000,4,250000,4000,3528652
10000.000000,4,250000,4000,3476114
10000.000000,4,250000,4000,3464910
10000.000000,4,250000,4000,3491725
10000.000000,4,250000,4000,3490018
10000.000000,4,250000,4000,3473055
10000.000000,4,250000,4000,3216270
10000.000000,4,250000,4000,3560963
10000.000000,8,125000,4000,3353284
10000.000000,8,125000,4000,3367076
10000.000000,8,125000,4000,3368396
10000.000000,8,125000,4000,3412336
10000.000000,8,125000,4000,3359577
10000.000000,8,125000,4000,3374880
10000.000000,8,125000,4000,3405185
10000.000000,8,125000,4000,3143615
10000.000000,8,125000,4000,3409245
10000.000000,8,125000,4000,3366131
10000.000000,1,1000000,2000,5472399
10000.000000,1,1000000,2000,5469101
10000.000000,1,1000000,2000,5619418
10000.000000,1,1000000,2000,5594928
10000.000000,1,1000000,2000,5484572
10000.000000,1,1000000,2000,5460929
10000.000000,1,1000000,2000,5473495
10000.000000,1,1000000,2000,5463557
10000.000000,1,1000000,2000,5485462
10000.000000,1,1000000,2000,5481061
10000.000000,2,500000,2000,2952793
10000.000000,2,500000,2000,2848283
10000.000000,2,500000,2000,2771544
10000.000000,2,500000,2000,2949504
10000.000000,2,500000,2000,2965762
10000.000000,2,500000,2000,2928863
10000.000000,2,500000,2000,2845955
10000.000000,2,500000,2000,2778840
10000.000000,2,500000,2000,2959440
10000.000000,2,500000,2000,2986333
10000.000000,4,250000,2000,1919313
10000.000000,4,250000,2000,1571270
10000.000000,4,250000,2000,1736957
10000.000000,4,250000,2000,1496863
10000.000000,4,250000,2000,1469943
10000.000000,4,250000,2000,1723228
10000.000000,4,250000,2000,1461726
10000.000000,4,250000,2000,1469366
10000.000000,4,250000,2000,2059592
10000.000000,4,250000,2000,1481932
10000.000000,8,125000,2000,1690481
10000.000000,8,125000,2000,1424804
10000.000000,8,125000,2000,1420779
10000.000000,8,125000,2000,1950729
10000.000000,8,125000,2000,1431509
10000.000000,8,125000,2000,1895215
