result,threads,worksize,repeat,time
10000.000000,1,1000000,4000,11301065
10000.000000,1,1000000,4000,11844619
10000.000000,1,1000000,4000,11542958
10000.000000,1,1000000,4000,11069710
10000.000000,1,1000000,4000,11024137
10000.000000,1,1000000,4000,11441829
10000.000000,1,1000000,4000,11408764
10000.000000,1,1000000,4000,11492221
10000.000000,1,1000000,4000,11298417
10000.000000,1,1000000,4000,11146600
10000.000000,2,500000,4000,5648703
10000.000000,2,500000,4000,5653593
10000.000000,2,500000,4000,5691441
10000.000000,2,500000,4000,5930941
10000.000000,2,500000,4000,5955543
10000.000000,2,500000,4000,5878601
10000.000000,2,500000,4000,5818942
10000.000000,2,500000,4000,5651437
10000.000000,2,500000,4000,5659402
10000.000000,2,500000,4000,5692790
10000.000000,4,250000,4000,3275711
10000.000000,4,250000,4000,3171974
10000.000000,4,250000,4000,3484617
10000.000000,4,250000,4000,3409074
10000.000000,4,250000,4000,3657665
10000.000000,4,250000,4000,3444791
10000.000000,4,250000,4000,3520915
10000.000000,4,250000,4000,3227592
10000.000000,4,250000,4000,3595775
10000.000000,4,250000,4000,3161479
10000.000000,8,125000,4000,2919560
10000.000000,8,125000,4000,2995135
10000.000000,8,125000,4000,2986926
10000.000000,8,125000,4000,2876060
10000.000000,8,125000,4000,2903366
10000.000000,8,125000,4000,2926463
10000.000000,8,125000,4000,2993809
10000.000000,8,125000,4000,2924272
10000.000000,8,125000,4000,2953402
10000.000000,8,125000,4000,3001863
10000.000000,1,1000000,2000,5625155
10000.000000,1,1000000,2000,5491672
10000.000000,1,1000000,2000,5513465
10000.000000,1,1000000,2000,6020916
10000.000000,1,1000000,2000,6350265
10000.000000,1,1000000,2000,6729770
10000.000000,1,1000000,2000,5798768
10000.000000,1,1000000,2000,5801941
10000.000000,1,1000000,2000,5859067
10000.000000,1,1000000,2000,5651154
10000.000000,2,500000,2000,2890852
10000.000000,2,500000,2000,3009962
10000.000000,2,500000,2000,3341686
10000.000000,2,500000,2000,3229565
10000.000000,2,500000,2000,2916857
10000.000000,2,500000,2000,3011203
10000.000000,2,500000,2000,2938256
10000.000000,2,500000,2000,3006035
10000.000000,2,500000,2000,3120918
10000.000000,2,500000,2000,3064321
10000.000000,4,250000,2000,1793684
10000.000000,4,250000,2000,1920919
10000.000000,4,250000,2000,1933261
10000.000000,4,250000,2000,2096587
10000.000000,4,250000,2000,1858841
10000.000000,4,250000,2000,1692623
10000.000000,4,250000,2000,1700241
10000.000000,4,250000,2000,1778359
10000.000000,4,250000,2000,1788193
10000.000000,4,250000,2000,2164265
10000.000000,8,125000,2000,1846029
10000.000000,8,125000,2000,1626702
10000.000000,8,125000,2000,1735381
